Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP1_Full64; Runtime version X-2025.06-SP1_Full64;  May  4 14:17 2026

 VCS Coverage Metrics Release X-2025.06-SP1_Full64 Copyright (c) 1991-2025 by Synopsys Inc.
[Cycle 535000] PC=0xa0 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=13
[Cycle 545000] PC=0xa4 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 555000] PC=0xa8 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 565000] PC=0xac | instr=0000360b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 575000] PC=0xb0 | instr=0000100b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 585000] PC=0xb4 | instr=0052000b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 595000] PC=0xb8 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 605000] PC=0xbc | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 615000] PC=0xbc | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=1
[Cycle 625000] PC=0xbc | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=1
[Cycle 635000] PC=0xbc | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=1
[Cycle 645000] PC=0xbc | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=1
[Cycle 655000] PC=0xc0 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 665000] PC=0xc4 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 675000] PC=0xc8 | instr=0094000b | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 685000] PC=0xcc | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 695000] PC=0xd0 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=2
[Cycle 705000] PC=0xd0 | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=2
[Cycle 715000] PC=0xd0 | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=2
[Cycle 725000] PC=0xd0 | instr=00000013 | stall=0 | mac_busy=1 | tcm_wea=0 tcm_addra=2
[Cycle 735000] PC=0xd0 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=2
[Cycle 745000] PC=0xd4 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
[Cycle 755000] PC=0xd8 | instr=00000013 | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=0
